Estacao;Data;Hora;Precipitacao;TempMaxima;TempMinima;
83377;05/07/1964;0000;;25.3;;
83377;05/07/1964;1200;0;;12.2;
83377;06/07/1964;0000;;25;;
83377;06/07/1964;1200;0;;10;
83377;07/07/1964;0000;;25.2;;
83377;07/07/1964;1200;0;;12.4;
83377;08/07/1964;0000;;24.5;;
83377;08/07/1964;1200;0;;10.7;
83377;09/07/1964;0000;;24.6;;
83377;09/07/1964;1200;0;;10.8;
83377;10/07/1964;0000;;23.4;;
83377;10/07/1964;1200;0;;11.7;
83377;11/07/1964;0000;;23.6;;
83377;11/07/1964;1200;0;;11.7;
83377;12/07/1964;0000;;23.7;;
83377;12/07/1964;1200;0;;13;
83377;13/07/1964;0000;;24.3;;
83377;13/07/1964;1200;0;;12.4;
83377;14/07/1964;0000;;24.3;;
83377;14/07/1964;1200;0;;12.1;
83377;15/07/1964;0000;;25;;
83377;15/07/1964;1200;0;;11.5;
83377;16/07/1964;0000;;24.6;;
83377;16/07/1964;1200;0;;13.2;
83377;17/07/1964;0000;;26.4;;
83377;17/07/1964;1200;0;;13.5;
83377;18/07/1964;0000;;26.3;;
83377;18/07/1964;1200;0;;14.5;
83377;19/07/1964;0000;;25.6;;
83377;19/07/1964;1200;0.8;;14.6;
83377;20/07/1964;0000;;22.6;;
83377;20/07/1964;1200;2.3;;14.6;
83377;21/07/1964;0000;;25;;
83377;21/07/1964;1200;0.6;;14.8;
83377;22/07/1964;0000;;25.8;;
83377;22/07/1964;1200;4.2;;13.1;
83377;23/07/1964;0000;;24.2;;
83377;23/07/1964;1200;0;;13.6;
83377;24/07/1964;0000;;25.1;;
83377;24/07/1964;1200;0;;13;
83377;25/07/1964;0000;;26.3;;
83377;25/07/1964;1200;0;;12.4;
83377;26/07/1964;0000;;24.3;;
83377;26/07/1964;1200;0;;14.8;
83377;27/07/1964;0000;;20.4;;
83377;27/07/1964;1200;4.5;;10.2;
83377;28/07/1964;0000;;20.4;;
83377;28/07/1964;1200;0.5;;6;
83377;29/07/1964;0000;;24.5;;
83377;29/07/1964;1200;0;;7.6;
83377;30/07/1964;0000;;23.7;;
83377;30/07/1964;1200;0;;12;
83377;31/07/1964;0000;;23.4;;
83377;31/07/1964;1200;0;;12.1;
83377;01/08/1964;0000;;24.4;;
83377;01/08/1964;1200;0;;11.6;
83377;02/08/1964;0000;;25.6;;
83377;02/08/1964;1200;0;;13.2;
83377;03/08/1964;0000;;26.4;;
83377;03/08/1964;1200;0;;13.7;
83377;04/08/1964;0000;;24.7;;
83377;04/08/1964;1200;0;;13.6;
83377;05/08/1964;0000;;23;;
83377;05/08/1964;1200;0;;13;
83377;06/08/1964;0000;;23.7;;
83377;06/08/1964;1200;0;;12.6;
83377;07/08/1964;0000;;24;;
83377;07/08/1964;1200;0;;11.2;
83377;08/08/1964;0000;;23.6;;
83377;08/08/1964;1200;0;;10.8;
83377;09/08/1964;0000;;25.1;;
83377;09/08/1964;1200;0;;14.4;
83377;10/08/1964;0000;;24.6;;
83377;10/08/1964;1200;0;;13;
83377;11/08/1964;0000;;24.9;;
83377;11/08/1964;1200;0;;15.3;
83377;12/08/1964;0000;;25.2;;
83377;12/08/1964;1200;0;;14.4;
83377;13/08/1964;0000;;23.8;;
83377;13/08/1964;1200;0;;12.7;
83377;14/08/1964;0000;;23.6;;
83377;14/08/1964;1200;0;;12.1;
83377;15/08/1964;0000;;25.6;;
83377;15/08/1964;1200;0;;11.6;
83377;16/08/1964;0000;;26.9;;
83377;16/08/1964;1200;0;;13.2;
83377;17/08/1964;0000;;27.4;;
83377;17/08/1964;1200;0;;14.4;
83377;18/08/1964;0000;;27.9;;
83377;18/08/1964;1200;0;;15.6;
83377;19/08/1964;0000;;28.8;;
83377;19/08/1964;1200;0;;15.7;
83377;20/08/1964;0000;;29.4;;
83377;20/08/1964;1200;0;;16;
83377;21/08/1964;0000;;28.7;;
83377;21/08/1964;1200;0;;15.8;
83377;22/08/1964;0000;;27.5;;
83377;22/08/1964;1200;0;;14.2;
83377;23/08/1964;0000;;28.4;;
83377;23/08/1964;1200;0;;15.1;
83377;24/08/1964;0000;;26;;
83377;24/08/1964;1200;0;;14.4;
83377;25/08/1964;0000;;27.5;;
83377;25/08/1964;1200;0;;15;
83377;26/08/1964;0000;;28.3;;
83377;26/08/1964;1200;0;;14.4;
83377;27/08/1964;0000;;28.4;;
83377;27/08/1964;1200;0;;16.6;
83377;28/08/1964;0000;;28.6;;
83377;28/08/1964;1200;0;;16.7;
83377;29/08/1964;0000;;29.2;;
83377;29/08/1964;1200;0;;16.2;
83377;30/08/1964;0000;;29.5;;
83377;30/08/1964;1200;0;;15.4;
83377;31/08/1964;0000;;29.5;;
83377;31/08/1964;1200;0;;16.2;
83377;01/09/1964;0000;;30.2;;
83377;01/09/1964;1200;0;;16.2;
83377;02/09/1964;0000;;29.8;;
83377;02/09/1964;1200;0;;17.6;
83377;03/09/1964;0000;;27.4;;
83377;03/09/1964;1200;0;;13.7;
83377;04/09/1964;0000;;27.8;;
83377;04/09/1964;1200;0;;13.2;
83377;05/09/1964;0000;;27;;
83377;05/09/1964;1200;0;;15.2;
83377;06/09/1964;0000;;27.7;;
83377;06/09/1964;1200;0;;14.7;
83377;07/09/1964;0000;;28;;
83377;07/09/1964;1200;0;;14.7;
83377;08/09/1964;0000;;28.3;;
83377;08/09/1964;1200;0;;14.1;
83377;09/09/1964;0000;;29;;
83377;09/09/1964;1200;0;;15.7;
83377;10/09/1964;0000;;30;;
83377;10/09/1964;1200;0;;16.1;
83377;11/09/1964;0000;;30.3;;
83377;11/09/1964;1200;0;;15.5;
83377;12/09/1964;0000;;30.4;;
83377;12/09/1964;1200;0;;16.5;
83377;13/09/1964;0000;;29.5;;
83377;13/09/1964;1200;0;;17.3;
83377;14/09/1964;0000;;28.3;;
83377;14/09/1964;1200;0;;15.7;
83377;15/09/1964;0000;;27.4;;
83377;15/09/1964;1200;0;;14;
